url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL,dns,domainAge,domainEnd,iframe,forwarding,label
24,0,1,0,1,1,0,1,1,1,0,0,1
60,2,1,0,0,2,0,1,1,1,0,0,1
35,1,1,0,0,1,0,1,1,1,0,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
22,0,1,0,0,0,0,1,1,1,1,1,1
48,0,1,0,1,1,0,1,1,1,1,0,1
84,0,1,0,1,0,0,1,1,1,1,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
110,3,1,0,1,2,0,1,1,1,0,0,1
59,6,1,0,0,1,1,1,1,1,1,1,1
33,0,1,0,1,0,0,1,1,1,1,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
92,6,1,0,0,3,1,1,1,1,1,0,1
461,3,1,0,0,1,1,1,1,1,1,0,1
110,3,1,0,0,2,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,1,0,1
37,0,1,0,0,1,0,1,1,1,1,0,1
35,0,1,0,0,0,0,1,1,1,1,1,1
21,0,0,0,0,1,0,1,1,1,1,0,1
38,0,1,0,1,1,0,1,1,1,0,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
107,0,1,0,1,1,0,1,1,1,0,0,1
44,3,1,0,0,1,0,1,1,1,0,1,1
29,2,1,0,0,1,0,1,1,1,1,0,1
84,0,1,0,1,0,0,1,1,1,0,0,1
62,1,1,0,1,2,0,1,1,1,0,0,1
88,3,1,0,0,2,0,1,1,1,0,0,1
30,0,1,0,1,1,0,1,1,1,1,0,1
39,0,1,0,1,1,0,1,1,1,1,0,1
22,0,1,0,0,1,0,1,1,1,1,1,1
37,0,0,0,0,1,0,1,1,1,1,0,1
29,0,1,0,1,1,0,1,1,1,1,0,1
38,0,1,1,1,1,0,1,1,1,0,0,1
92,2,1,0,1,1,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,1,0,1
39,0,1,0,0,1,0,1,1,1,0,0,1
72,4,1,0,1,2,1,1,1,1,1,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
31,0,1,0,0,1,0,1,1,1,0,0,1
51,0,1,0,1,0,0,1,1,1,1,0,1
26,0,1,0,0,1,0,1,1,1,0,0,1
44,0,1,0,1,1,0,1,1,1,0,0,1
92,2,1,0,1,1,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
38,2,1,0,0,1,0,1,1,1,0,0,1
71,2,1,0,1,1,0,1,1,1,1,0,1
30,2,1,0,0,1,0,1,1,1,0,0,1
22,1,1,0,0,1,0,1,1,1,1,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
43,0,1,0,0,1,0,1,1,1,1,0,1
84,0,1,0,1,0,0,1,1,1,1,0,1
72,0,1,0,1,1,0,1,1,1,1,0,1
43,1,0,0,0,2,0,1,1,1,0,0,1
43,0,1,0,1,1,0,1,1,1,1,0,1
85,0,1,0,1,1,0,1,1,1,0,0,1
42,1,1,0,0,1,0,1,1,1,0,0,1
68,1,1,0,1,2,0,1,1,1,1,0,1
29,0,1,0,0,1,0,1,1,1,0,0,1
41,0,1,0,1,1,0,1,1,1,0,0,1
29,1,1,0,0,1,0,1,1,1,1,0,1
71,2,1,0,1,1,0,1,1,1,1,0,1
97,1,1,0,1,2,0,1,1,1,0,0,1
20,0,1,0,0,1,0,1,1,1,1,0,1
51,3,1,0,1,1,0,1,1,1,1,0,1
25,0,1,0,0,1,0,1,1,1,0,0,1
36,1,1,0,0,1,0,1,1,1,0,0,1
36,0,1,1,0,1,0,1,1,1,1,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
33,0,0,0,0,1,0,1,1,1,0,0,1
112,4,1,0,0,1,0,1,1,1,0,0,1
28,0,1,0,1,1,0,1,1,1,0,0,1
25,1,1,0,0,1,0,1,1,1,1,0,1
79,1,1,0,1,2,0,1,1,1,0,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
38,2,0,0,0,2,1,1,1,1,1,1,1
104,3,1,0,1,2,0,1,1,1,1,0,1
41,0,1,0,1,1,0,1,1,1,0,0,1
38,0,1,0,0,1,1,1,1,1,1,0,1
38,0,1,0,1,1,0,1,1,1,0,0,1
49,2,1,0,1,2,0,1,1,1,0,0,1
20,1,1,0,0,1,0,1,1,1,1,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
112,1,1,0,1,2,0,1,1,1,0,0,1
34,0,1,0,0,0,0,1,1,1,0,0,1
103,3,1,0,0,1,0,1,1,1,1,0,1
134,1,1,0,0,2,0,1,1,1,0,0,1
33,0,1,0,1,1,0,1,1,1,0,0,1
34,0,1,0,0,1,0,1,1,1,1,0,1
37,0,0,0,0,1,0,1,1,1,1,0,1
31,1,1,0,0,1,0,1,1,1,1,0,1
149,6,1,0,0,1,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
27,0,1,0,0,1,0,1,1,1,1,0,1
96,1,1,0,1,2,0,1,1,1,0,0,1
79,1,1,0,1,2,0,1,1,1,0,0,1
24,1,1,0,0,1,0,1,1,1,0,0,1
101,1,1,0,0,2,0,1,1,1,0,0,1
79,3,1,0,0,2,0,1,1,1,0,0,1
29,0,1,0,0,1,0,1,1,1,1,0,1
104,1,1,0,0,2,1,1,1,1,1,0,1
57,0,1,0,1,1,0,1,1,1,0,0,1
40,0,0,1,0,1,0,1,1,1,0,0,1
46,0,1,0,1,1,0,1,1,1,0,0,1
49,1,1,0,0,1,0,1,1,1,1,1,1
35,0,1,0,0,1,0,1,1,1,0,0,1
98,3,1,0,1,1,0,1,1,1,1,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
48,0,1,0,1,1,0,1,1,1,0,0,1
80,1,1,0,1,2,0,1,1,1,1,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
22,0,1,0,0,1,0,1,1,1,0,0,1
23,1,1,0,0,1,0,1,1,1,0,0,1
24,0,0,0,0,0,0,1,1,1,1,0,1
