,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL
92,cf-ipfs.com,71,2,1,0,1,1,0
93,att-service-108697.weeblysite.com,42,0,1,0,1,1,0
94,hvarrenk.wixsite.com,36,1,1,0,0,1,0
95,site9614403.92.webydo.com,37,0,0,0,0,1,0
96,indianastateuniverityaccountupdate.ukit.me,51,0,1,0,0,1,1
97,cloudflare-ipfs.com,92,2,1,0,1,1,0
98,pub-f611d274df8e4f67b68b0b360a31cedc.r2.dev,60,1,1,0,1,2,0
99,bit.ly,21,1,0,1,0,1,0
100,bafybeifblzdrve6qofa2rbc5mfijobinbnmxg6hl4de3z525ojgxfkcmy4.ipfs.cf-ipfs.com,100,1,1,0,1,2,0
101,christianaoliveira.com,82,1,1,0,0,1,0
102,eesnn.com,17,0,1,0,0,0,0
103,ipfs.io,80,2,1,0,0,1,0
104,bafkreibnwnwvl5t5rix6tq3qoif4s6xqw6m3366c2yy7lnhig5zg2wk5ji.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
105,ipfs.eth.aragon.network,264,3,1,0,0,2,0
106,theral.weeblysite.com,30,0,1,0,0,1,0
107,orpkreroes.pro,23,0,1,0,0,1,0
108,ipfs.eth.aragon.network,96,2,1,0,0,1,0
109,taplink.cc,32,1,1,0,0,1,0
110,advanceweb-netzero-2023.square.site,44,0,1,0,1,1,0
111,in.mt,24,1,0,0,0,1,0
112,att-105509.weeblysite.com,34,0,1,0,1,1,0
113,micr0softesign.firebaseapp.com,39,0,1,0,0,1,0
114,t.ly,18,1,1,0,0,1,0
115,login-coinbasecom.weebly.com,35,0,0,0,1,0,1
116,ff.member.gareza.vn,70,1,1,0,0,1,0
117,cf-ipfs.com,71,2,1,0,1,1,0
118,migrate-fix.pages.dev,30,0,1,0,1,1,0
119,pterygium.biz,57,4,1,0,0,2,0
120,e-ea5.pages.dev,24,0,1,0,1,1,0
121,thevinylspectrum.com,60,2,1,0,0,2,0
122,forms.gle,35,1,1,0,0,1,0
123,docs.google.com,167,5,1,0,0,1,0
124,vmsjqnw.cn,22,0,1,0,0,0,0
125,logn-maile-4743.whit8095432.workers.dev,48,0,1,0,1,1,0
126,bafkreifwfox7gdsxbul5ytug3x64sa3g65ica2vj6eiyqjjrdpxwj7hc5e.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
